,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
1021,Mon Mar 14 2022,20:00,Charlotte Hornets,134,Oklahoma City Thunder,116,0,15810.0,Paycom Center,Charlotte Hornets,False,-18,18
1031,Wed Mar 16 2022,19:00,Atlanta Hawks,106,Charlotte Hornets,116,0,16648.0,Spectrum Center,Charlotte Hornets,True,10,10
1057,Sat Mar 19 2022,19:00,Dallas Mavericks,108,Charlotte Hornets,129,0,19279.0,Spectrum Center,Charlotte Hornets,True,21,21
1069,Mon Mar 21 2022,19:00,New Orleans Pelicans,103,Charlotte Hornets,106,0,13351.0,Spectrum Center,Charlotte Hornets,True,3,3
1082,Wed Mar 23 2022,19:00,New York Knicks,121,Charlotte Hornets,106,0,16290.0,Spectrum Center,New York Knicks,False,-15,15
1098,Fri Mar 25 2022,19:00,Utah Jazz,101,Charlotte Hornets,107,0,19162.0,Spectrum Center,Charlotte Hornets,True,6,6
1118,Sun Mar 27 2022,19:30,Charlotte Hornets,119,Brooklyn Nets,110,0,18166.0,Barclays Center,Charlotte Hornets,False,-9,9
1120,Mon Mar 28 2022,19:00,Denver Nuggets,113,Charlotte Hornets,109,0,17614.0,Spectrum Center,Denver Nuggets,False,-4,4
1138,Wed Mar 30 2022,19:30,Charlotte Hornets,125,New York Knicks,114,0,19812.0,Madison Square Garden (IV),Charlotte Hornets,False,-11,11
1160,Sat Apr 2 2022,24:30,Charlotte Hornets,114,Philadelphia 76ers,144,0,21509.0,Wells Fargo Center,Philadelphia 76ers,True,30,30
1180,Tue Apr 5 2022,19:30,Charlotte Hornets,115,Miami Heat,144,0,19600.0,FTX Arena,Miami Heat,True,29,29
1195,Thu Apr 7 2022,19:00,Orlando Magic,101,Charlotte Hornets,128,0,16427.0,Spectrum Center,Charlotte Hornets,True,27,27
1206,Fri Apr 8 2022,20:00,Charlotte Hornets,133,Chicago Bulls,117,0,21461.0,United Center,Charlotte Hornets,False,-16,16
1216,Sun Apr 10 2022,15:30,Washington Wizards,108,Charlotte Hornets,124,0,18465.0,Spectrum Center,Charlotte Hornets,True,16,16
1232,Wed Apr 13 2022,19:00,Charlotte Hornets,103,Atlanta Hawks,132,0,18137.0,State Farm Arena,Atlanta Hawks,True,29,29
