,Unnamed: 0,Visitor,Home,PTSDF
427,427,PHI,BRK,9
428,428,NYK,HOU,-13
429,429,WAS,PHO,20
430,430,MIA,ORL,-10
431,431,DEN,ATL,-18
432,432,GSW,BOS,-4
433,433,MIL,NOP,4
434,434,SAS,UTA,-2
435,435,LAL,MIN,18
436,436,CHO,POR,9
437,437,MEM,SAC,-19
438,438,HOU,DET,-9
439,439,NYK,BOS,7
440,440,ORL,BRK,-7
441,441,GSW,TOR,19
442,442,LAC,OKC,1
443,443,CLE,MIL,-29
444,444,WAS,UTA,-6
445,445,MIA,DET,10
446,446,POR,MEM,-5
447,447,SAS,SAC,7
448,448,LAL,CHI,5
449,449,DAL,MIN,6
450,450,CHO,PHO,31
451,451,PHI,BOS,-5
452,452,HOU,CHI,15
453,453,OKC,MEM,-3
454,454,CHO,UTA,10
455,455,SAC,GSW,15
456,456,SAS,LAC,-24
457,457,IND,MIA,29
458,458,DET,NYK,14
459,459,POR,NOP,14
460,460,MIN,DAL,12
461,461,PHO,LAL,-18
462,462,ORL,ATL,-6
463,463,CLE,BOS,10
464,464,HOU,MIL,20
465,465,DEN,OKC,14
466,466,LAC,SAC,-16
467,467,HOU,IND,12
468,468,NOP,ORL,-6
469,469,ATL,PHI,-2
470,470,DET,MIA,3
471,471,WAS,NYK,-7
472,472,MIL,DAL,-7
473,473,CHO,DEN,-8
474,474,OKC,PHO,12
475,475,MIN,UTA,12
476,476,MEM,GSW,9
477,477,SAS,LAL,-28
478,478,ATL,NYK,14
479,479,BOS,MIL,4
480,480,GSW,PHO,-9
481,481,BRK,LAL,-7
482,482,DAL,UTA,4
483,483,ORL,MIA,10
484,484,TOR,CLE,45
485,485,MEM,SAC,-25
486,486,PHI,WAS,-21
487,487,NOP,OKC,5
488,488,DET,SAS,35
489,489,IND,CHI,8
490,490,DEN,LAC,-3
491,491,HOU,CHO,24
492,492,CHI,ATL,-12
493,493,BOS,MIN,5
494,494,UTA,SAS,-6
495,495,MEM,PHO,-1
496,496,DAL,POR,-15
497,497,BRK,LAC,-16
498,498,MIL,ORL,-17
499,499,WAS,MIA,7
500,500,PHI,TOR,-5
501,501,LAL,HOU,-9
502,502,NYK,MIN,-8
503,503,CLE,NOP,4
504,504,DEN,GSW,-3
505,505,OKC,SAC,6
506,506,NYK,DET,-9
507,507,CHO,IND,-8
508,508,LAC,BOS,-9
509,509,ATL,CHI,14
510,510,LAL,MEM,5
511,511,OKC,PHO,18
512,512,UTA,POR,-15
513,513,DAL,SAC,1
514,514,PHI,BRK,-8
515,515,MIL,ORL,-18
516,516,CLE,WAS,17
517,517,PHO,BOS,15
518,518,CHI,IND,-2
519,519,DAL,SAC,-16
520,520,MIA,HOU,-10
521,521,ATL,CLE,-3
522,522,LAC,TOR,8
523,523,SAS,MEM,13
524,524,NYK,OKC,15
525,525,MIN,UTA,12
526,526,POR,LAL,33
527,527,NOP,MIL,23
528,528,SAS,DET,1
529,529,CHI,WAS,-1
530,530,LAC,BRK,-4
531,531,DEN,HOU,-13
532,532,GSW,UTA,-7
533,533,NYK,TOR,15
534,534,ORL,BOS,5
535,535,IND,CLE,4
536,536,MIA,SAC,2
537,537,PHO,CHO,-34
538,538,DAL,OKC,-9
539,539,MIN,LAL,5
540,540,HOU,PHI,20
541,541,CHO,WAS,3
542,542,MEM,BRK,-14
543,543,ORL,CHI,4
544,544,DET,MIL,-9
545,545,UTA,NOP,-11
546,546,DEN,DAL,14
547,547,MIA,GSW,7
548,548,ATL,POR,5
549,549,MIN,LAC,-18
550,550,MEM,CLE,-4
551,551,SAS,TOR,25
552,552,IND,NYK,10
553,553,PHO,NOP,-13
554,554,SAC,LAL,8
555,555,DET,CHO,29
556,556,PHI,ORL,-10
557,557,HOU,WAS,-3
558,558,SAS,BOS,-2
559,559,GSW,DAL,17
560,560,BRK,IND,-8
561,561,TOR,MIL,-6
562,562,OKC,MIN,8
563,563,UTA,DEN,-6
564,564,MIA,POR,-6
565,565,ATL,SAC,-6
566,566,BOS,NYK,3
567,567,DET,MEM,30
568,568,GSW,NOP,5
569,569,LAC,PHO,17
570,570,SAS,PHI,19
571,571,MIL,BRK,-12
572,572,UTA,TOR,14
573,573,WAS,CHI,8
574,574,DAL,HOU,-24
575,575,MIN,OKC,-30
576,576,SAC,DEN,10
577,577,ATL,LAL,16
578,578,CLE,POR,-13
579,579,MEM,LAC,-15
580,580,MIL,CHO,8
581,581,ORL,DET,5
582,582,UTA,IND,12
583,583,NYK,BOS,24
584,584,MIA,PHO,-23
585,585,SAS,BRK,2
586,586,ATL,LAC,13
587,587,WAS,ORL,-2
588,588,NOP,TOR,4
589,589,MIN,HOU,-18
590,590,DEN,OKC,-4
591,591,CHI,DAL,14
592,592,CLE,GSW,14
593,593,SAC,POR,15
594,594,MEM,LAL,-8
595,595,MIL,CHO,4
596,596,UTA,DET,10
597,597,IND,BOS,3
598,598,SAS,NYK,15
599,599,PHI,HOU,-20
600,600,BRK,POR,6
601,601,CLE,SAC,-1
602,602,OKC,WAS,4
603,603,PHO,TOR,-4
604,604,DET,CHI,46
605,605,GSW,MEM,8
606,606,MIN,NOP,3
607,607,DEN,LAC,2
608,608,BOS,IND,-19
609,609,CHO,PHI,-11
610,610,ORL,WAS,6
611,611,MIA,ATL,-24
612,612,DAL,NYK,23
613,613,HOU,SAS,-4
614,614,CLE,UTA,-20
615,615,BRK,CHI,-26
616,616,LAL,SAC,9
617,617,GSW,MIL,19
618,618,MIN,MEM,8
619,619,LAC,NOP,24
620,620,OKC,BRK,-21
621,621,POR,DEN,32
622,622,ORL,CHO,-7
623,623,TOR,DET,16
624,624,PHO,IND,-18
625,625,BOS,PHI,12
626,626,GSW,CHI,-42
627,627,ATL,MIA,6
628,628,CLE,SAS,-5
629,629,DAL,MEM,-27
630,630,HOU,SAC,12
631,631,TOR,MIL,-7
632,632,POR,WAS,-5
633,633,NYK,ATL,-9
634,634,NOP,BRK,15
635,635,PHI,MIA,-11
636,636,CLE,OKC,-5
637,637,CHI,BOS,2
638,638,LAC,SAS,7
639,639,LAL,DEN,37
640,640,ORL,DAL,16
641,641,PHO,DET,-27
642,642,HOU,SAC,-6
643,643,UTA,DEN,-23
644,644,GSW,MIN,20
645,645,NOP,BOS,12
646,646,CHO,NYK,-10
647,647,PHI,WAS,19
648,648,BRK,CLE,7
649,649,IND,LAC,6
650,650,CHI,MEM,13
651,651,MIL,ATL,7
652,652,POR,ORL,-10
653,653,TOR,MIA,5
654,654,OKC,DAL,2
655,655,PHO,SAS,-14
656,656,UTA,LAL,6
657,657,MIN,NYK,-2
658,658,DET,GSW,16
659,659,ORL,PHI,13
660,660,BRK,WAS,-1
661,661,MIN,ATL,12
662,662,CHO,BOS,-9
663,663,POR,MIA,12
664,664,CLE,CHI,13
665,665,MEM,MIL,12
666,666,TOR,DAL,4
667,667,OKC,SAS,22
668,668,HOU,UTA,-5
669,669,LAC,DEN,2
670,670,DET,SAC,-2
671,671,IND,LAL,-7
672,672,PHO,DAL,-8
673,673,NOP,NYK,-11
674,674,IND,GSW,-4
675,675,OKC,CHO,23
676,676,LAL,ORL,-11
677,677,LAC,PHI,-1
678,678,MIA,ATL,2
679,679,POR,BOS,-4
680,680,CHI,MIL,4
681,681,TOR,WAS,-4
682,682,BRK,SAS,-15
683,683,MEM,DEN,-4
684,684,DET,UTA,10
685,685,HOU,GSW,2
686,686,SAC,MIL,6
687,687,OKC,CLE,7
688,688,IND,PHO,10
689,689,LAC,NYK,8
690,690,BOS,WAS,-29
691,691,LAL,MIA,6
692,692,CHI,ORL,19
693,693,POR,TOR,-9
694,694,ATL,CHO,-22
695,695,PHI,SAS,-6
696,696,MEM,DAL,13
697,697,DET,DEN,6
698,698,BRK,MIN,11
699,699,UTA,GSW,2
700,700,NYK,CLE,2
701,701,IND,NOP,4
702,702,CHI,OKC,-1
703,703,UTA,PHO,6
704,704,DEN,DET,-5
705,705,NOP,PHI,10
706,706,CHO,TOR,12
707,707,LAC,WAS,-1
708,708,SAC,BOS,53
709,709,LAL,BRK,-10
710,710,SAS,HOU,-30
711,711,DAL,GSW,38
712,712,MIN,POR,-2
713,713,MIL,CLE,16
714,714,CHO,IND,-32
715,715,LAC,ORL,-9
716,716,SAC,ATL,17
717,717,NYK,MIA,14
718,718,DEN,BRK,-6
719,719,TOR,CHI,6
720,720,MEM,SAS,-8
721,721,DAL,POR,-20
722,722,PHO,UTA,-8
723,723,LAL,PHI,18
724,724,MIN,GSW,9
725,725,DET,ORL,16
726,726,BOS,ATL,16
727,727,LAL,CHO,3
728,728,POR,HOU,-15
729,729,UTA,MEM,10
730,730,LAC,MIA,7
731,731,DEN,NOP,-11
732,732,IND,OKC,-3
733,733,CHI,SAS,9
734,734,MIN,PHO,10
735,735,NYK,MIL,15
736,736,IND,DAL,27
737,737,BOS,NOP,-10
738,738,SAC,PHI,2
739,739,WAS,MEM,20
740,740,TOR,MIA,-4
741,741,BRK,GSW,4
742,742,LAL,ATL,8
743,743,LAC,CHO,-25
744,744,POR,CHI,14
745,745,CLE,DET,10
746,746,DEN,MIL,-36
747,747,DAL,ORL,2
748,748,UTA,MIN,20
749,749,SAS,PHO,5
750,750,NOP,CLE,3
751,751,LAC,IND,6
752,752,MEM,PHI,3
753,753,TOR,ATL,-6
754,754,MIA,BOS,30
755,755,SAC,NYK,20
756,756,GSW,HOU,-14
757,757,POR,OKC,17
758,758,NOP,DET,-10
759,759,WAS,MIL,14
760,760,MIA,TOR,4
761,761,ORL,CHI,11
762,762,DEN,MIN,15
763,763,GSW,SAS,-4
764,764,BRK,PHO,10
765,765,ORL,IND,-1
766,766,WAS,PHI,-3
767,767,CHO,BOS,6
768,768,MEM,NYK,-12
769,769,CLE,HOU,11
770,770,OKC,DAL,-6
771,771,BRK,SAC,11
772,772,DEN,UTA,4
773,773,POR,LAL,5
774,774,MIN,DET,-11
775,775,MIA,SAS,-17
776,776,PHO,ATL,9
777,777,CHI,TOR,7
778,778,SAC,GSW,12
779,779,LAL,LAC,1
780,780,CLE,CHO,-1
781,781,BOS,DET,-9
782,782,CHI,IND,-7
783,783,ATL,TOR,11
784,784,HOU,SAS,25
785,785,NOP,DEN,-8
786,786,BRK,UTA,23
787,787,PHI,DAL,9
788,788,OKC,POR,-3
789,789,MEM,ORL,-20
790,790,MIA,CHO,-18
791,791,PHO,WAS,-15
792,792,NYK,LAL,7
793,793,MIL,POR,-29
794,794,OKC,SAC,10
795,795,PHI,CHI,-11
796,796,BRK,DEN,20
797,797,DET,MIN,13
798,798,IND,CLE,13
799,799,ATL,DAL,9
800,800,BOS,ORL,-33
801,801,NOP,HOU,-13
802,802,MIL,LAC,-24
803,803,TOR,CHO,-15
804,804,MIA,WAS,-21
805,805,PHO,CHI,-3
806,806,GSW,OKC,-12
807,807,NYK,UTA,9
808,808,PHO,PHI,-5
809,809,IND,ATL,21
810,810,BOS,BRK,-35
811,811,LAC,MEM,26
812,812,HOU,NOP,13
813,813,DET,DAL,30
814,814,NYK,DEN,17
815,815,MIL,LAL,-15
816,816,ORL,POR,-18
817,817,MIN,SAC,-20
818,818,SAS,CLE,13
819,819,CHI,CHO,-12
820,820,TOR,OKC,-19
821,821,LAL,POR,2
822,822,MIN,SAC,13
823,823,GSW,UTA,26
824,824,MEM,DET,-25
825,825,MIA,NOP,-15
826,826,BRK,WAS,1
827,827,TOR,HOU,-19
828,828,LAC,DAL,7
829,829,NYK,GSW,-2
830,830,MIL,PHO,24
831,831,CHO,DET,-22
832,832,CLE,IND,-7
833,833,OKC,PHI,13
834,834,SAS,ATL,-15
835,835,DEN,BOS,6
836,836,MIN,CHI,12
837,837,ORL,UTA,15
838,838,NYK,POR,9
839,839,MEM,CHO,-7
840,840,SAS,NOP,-10
841,841,SAC,WAS,-13
842,842,CLE,PHI,10
843,843,DEN,TOR,-1
844,844,OKC,CHI,5
845,845,BRK,MIA,4
846,846,LAC,DAL,-2
847,847,LAL,GSW,2
848,848,ORL,PHO,27
849,849,ATL,BOS,10
850,850,MIN,IND,-9
851,851,DET,WAS,9
852,852,SAC,BRK,24
853,853,OKC,NYK,-4
854,854,SAS,CHI,11
855,855,POR,MIL,-15
856,856,TOR,NOP,30
857,857,ORL,DEN,10
858,858,HOU,UTA,34
859,859,GSW,LAC,15
860,860,CLE,ATL,8
861,861,DAL,MIA,-8
862,862,BOS,PHI,-48
863,863,IND,MIL,9
864,864,CHO,MIN,6
865,865,MEM,NOP,-12
866,866,LAC,PHO,7
867,867,ATL,ORL,-21
868,868,DET,BOS,-1
869,869,WAS,IND,5
870,870,BRK,NYK,-5
871,871,SAC,CHI,7
872,872,POR,MEM,-4
873,873,TOR,MIN,-12
874,874,SAS,OKC,-8
875,875,HOU,PHO,3
876,876,DEN,GSW,-1
877,877,UTA,LAL,5
878,878,MIA,CHO,-4
879,879,WAS,BRK,-14
880,880,DAL,NOP,-7
881,881,PHI,MIL,-3
882,882,HOU,LAC,31
883,883,CLE,DET,3
884,884,BOS,BRK,-23
885,885,ATL,CHI,4
886,886,MEM,MIN,5
887,887,PHO,OKC,-20
888,888,GSW,POR,-37
889,889,DEN,SAC,-18
890,890,TOR,CHO,32
891,891,OKC,IND,-4
892,892,HOU,ORL,8
893,893,SAS,WAS,-4
894,894,MIA,NYK,-15
895,895,PHI,MIN,-31
896,896,NOP,PHO,-15
897,897,DAL,UTA,5
898,898,LAC,LAL,-3
899,899,BOS,DET,-9
900,900,TOR,ATL,27
901,901,MEM,CHI,-6
902,902,WAS,CLE,6
903,903,SAS,MIA,4
904,904,BRK,MIL,-3
905,905,SAC,DEN,5
906,906,PHI,NYK,-16
907,907,UTA,PHO,-4
908,908,BOS,IND,21
909,909,DET,CHO,-1
910,910,LAC,HOU,-1
911,911,DAL,GSW,-6
912,912,DEN,POR,-32
913,913,NOP,LAL,-28
914,914,MIN,CLE,-5
915,915,IND,ORL,16
916,916,TOR,BRK,-36
917,917,CHI,MIA,13
918,918,SAS,MEM,13
919,919,CHO,MIL,24
920,920,SAC,OKC,-21
921,921,DET,WAS,3
922,922,ATL,BOS,9
923,923,BRK,TOR,1
924,924,LAC,HOU,-13
925,925,GSW,MIN,15
926,926,DAL,LAL,-5
927,927,CHO,CLE,-21
928,928,IND,ORL,-8
929,929,NYK,PHI,15
930,930,UTA,HOU,-5
931,931,MIA,MIL,1
932,932,SAC,NOP,30
933,933,OKC,DEN,-12
934,934,POR,PHO,30
935,935,CHI,ATL,6
936,936,MEM,BOS,13
937,937,MIA,BRK,-6
938,938,DET,TOR,-2
939,939,GSW,DAL,9
940,940,SAC,SAS,-3
941,941,LAL,LAC,21
942,942,IND,DET,5
943,943,CLE,PHI,6
944,944,ATL,WAS,-3
945,945,MIL,CHI,-6
946,946,ORL,TOR,-6
947,947,UTA,NOP,34
948,948,MIN,OKC,-37
949,949,HOU,DEN,15
950,950,NYK,PHO,1
951,951,SAC,DAL,1
952,952,SAS,CHO,6
953,953,ORL,MEM,28
954,954,PHI,MIA,17
955,955,POR,MIN,14
956,956,GSW,LAL,8
957,957,BRK,BOS,6
958,958,PHO,MIL,10
959,959,IND,WAS,10
960,960,MEM,HOU,11
961,961,UTA,OKC,-13
962,962,TOR,CLE,8
963,963,NOP,DEN,8
964,964,NYK,LAC,-23
965,965,ATL,DET,3
966,966,CHI,PHI,15
967,967,HOU,MIA,17
968,968,POR,MIN,43
969,969,UTA,DAL,8
970,970,LAL,SAS,7
971,971,GSW,DEN,7
972,972,NYK,SAC,-16
973,973,BRK,CHO,-11
974,974,CLE,IND,-3
975,975,PHO,ORL,-3
976,976,NOP,MEM,21
