Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,141.70833333333334,301.7083333333333,0.4335833333333334,44.0,117.54166666666667,0.32581818181818184,97.70833333333333,184.16666666666666,0.48441666666666666,0.5015416666666667,61.875,76.20833333333333,0.7509545454545455,34.291666666666664,115.95833333333333,150.25,84.04166666666667,24.458333333333332,14.5,38.5,63.916666666666664,389.2916666666667
BOS,119.32142857142857,255.96428571428572,0.4407307692307692,38.75,108.71428571428571,0.332625,80.57142857142857,147.25,0.5267499999999999,0.5123076923076924,49.892857142857146,61.17857142857143,0.7908571428571429,30.821428571428573,104.10714285714286,134.92857142857142,72.71428571428571,21.107142857142858,17.071428571428573,38.214285714285715,54.32142857142857,327.2857142857143
BRK,143.41666666666666,302.125,0.45339130434782604,39.166666666666664,108.41666666666667,0.31022727272727274,104.25,193.70833333333334,0.5039130434782608,0.5133478260869565,59.75,74.20833333333333,0.7504500000000001,35.166666666666664,116.5,151.66666666666666,86.29166666666667,24.25,18.666666666666668,45.25,69.58333333333333,385.75
CHI,155.54545454545453,323.95454545454544,0.5005714285714286,39.63636363636363,107.45454545454545,0.3105,115.9090909090909,216.5,0.5582857142857143,0.5579047619047619,65.27272727272727,80.27272727272727,0.7081000000000001,32.31818181818182,125.45454545454545,157.77272727272728,89.0,26.59090909090909,15.272727272727273,45.18181818181818,70.0,416.0
CHO,184.6315789473684,394.57894736842104,0.46705555555555556,60.1578947368421,164.73684210526315,0.303875,124.47368421052632,229.8421052631579,0.5471176470588235,0.5201666666666667,68.3157894736842,92.26315789473684,0.6973333333333334,46.73684210526316,145.6315789473684,192.3684210526316,121.15789473684211,37.21052631578947,21.157894736842106,54.8421052631579,85.73684210526316,497.7368421052632
CLE,125.1923076923077,266.9230769230769,0.4585769230769231,36.65384615384615,103.3076923076923,0.26077272727272727,88.53846153846153,163.6153846153846,0.5354615384615384,0.5123076923076924,52.92307692307692,69.61538461538461,0.7181304347826086,32.19230769230769,107.15384615384616,139.34615384615384,79.38461538461539,22.307692307692307,13.192307692307692,41.84615384615385,55.11538461538461,339.96153846153845
DAL,119.33333333333333,258.5925925925926,0.38300000000000006,39.74074074074074,113.44444444444444,0.2692307692307692,79.5925925925926,145.14814814814815,0.4651851851851852,0.4402962962962963,49.666666666666664,64.4074074074074,0.7736666666666667,28.11111111111111,102.55555555555556,130.66666666666666,71.03703703703704,20.444444444444443,12.037037037037036,35.55555555555556,59.7037037037037,328.0740740740741
DEN,155.27272727272728,321.77272727272725,0.45486363636363636,47.22727272727273,133.8181818181818,0.33466666666666667,108.04545454545455,187.95454545454547,0.5313809523809524,0.5334545454545455,62.36363636363637,78.4090909090909,0.713047619047619,34.18181818181818,130.22727272727272,164.4090909090909,103.5909090909091,26.90909090909091,13.863636363636363,51.59090909090909,74.5,420.1363636363636
DET,115.88888888888889,269.14814814814815,0.3735555555555556,34.25925925925926,105.11111111111111,0.27836,81.62962962962963,164.03703703703704,0.4194074074074074,0.4320740740740741,52.333333333333336,66.88888888888889,0.7679166666666667,33.333333333333336,97.22222222222223,130.55555555555554,71.25925925925925,23.333333333333332,14.555555555555555,40.666666666666664,66.62962962962963,318.3703703703704
GSW,195.47058823529412,416.88235294117646,0.47358823529411764,69.17647058823529,190.05882352941177,0.29517647058823526,126.29411764705883,226.8235294117647,0.560235294117647,0.542235294117647,75.29411764705883,97.94117647058823,0.7566875,47.05882352941177,172.35294117647058,219.41176470588235,130.76470588235293,42.294117647058826,21.88235294117647,69.05882352941177,101.3529411764706,535.4117647058823
HOU,169.94736842105263,372.7894736842105,0.4526315789473684,58.1578947368421,166.8421052631579,0.3111578947368421,111.78947368421052,205.94736842105263,0.5465263157894737,0.5293684210526316,75.47368421052632,105.78947368421052,0.7428947368421053,41.36842105263158,140.0,181.3684210526316,101.6842105263158,31.57894736842105,20.105263157894736,67.57894736842105,89.05263157894737,473.5263157894737
